text,label,naive_bayes_prediction
ni liat google nanya chatgpt aowkwkwkwkwk,Netral,Netral
rossfellaz wkwk parah nih nanya chatgpt jawab diboongin,Positif,Negatif
pokok selesai jalur chatgpt,Netral,Netral
ufmaa eksplorasi integrasi cerdas buat blockchain manfaat sepenuh kuat komputasi cerdas buat layan transaksi derivatif mata uang kripto ufmaa airdrops chatgpt btc situs web resmi,Positif,Positif
ajar andal chatgpt imbas hidup sosial salah satu kait tingkat sepi eh via detikedu,Positif,Positif
ajar ngoding coursenonton ytbootcamp modal docs chat gpt,Netral,Netral
hina dr copas chat gpt,Negatif,Negatif
kamilb gua netral hasil analisis chatgpt,Negatif,Negatif
rabbaniahmad cikgu ni bilang masuk kelas bole pakai jari masuk ret ajar bukak video suruh search internet chatgpt ret subjek pastu nak kursus sesi kelas jalan ret problem solving refer point no,Positif,Positif
guaremperor mwehehehe,Negatif,Netral
drlrst klaim chat gpt gt google translate,Netral,Netral
zeinnawawyreal info titik kordinat,Netral,Netral
orangmiskin terimakasih,Positif,Netral
cornsaladxx kayak tuh respecting age gap jatohnya kayak ngobrol chat gpt,Positif,Positif
chatgpt terima kasih chatgpt dunia ni chatgpt notion ai tome chatgpt i love chatgpt chatgpt cinta dunia,Positif,Positif
serius nanya chatgpt jeno bangga tuh ya kalo tau mahasiswa kampus kalo bleh taw,Positif,Positif
pas jaemin bilang orang lakuinnya ga kayak gin ambil krayon jeno langsung nyahut chat gpt a brand raya situ gue tau dreamies kayak konsumsi kecubung,Positif,Positif
bugun instagramda gemini haqida eshitib qoldim keyin sinab kordim menimcha chat gpt ancha zor yoki men undan foydalanishni bilmaganman,Negatif,Negatif
ztfkzz chat gpt ha afd mafahmch,Netral,Netral
jejarieee bales bales taiii kt gua mah laki suru chat sm simsimi chat gpt aj,Negatif,Negatif
wchitorico chat gpt bgt anjirr,Netral,Netral
iplosello ha shu borishga arziydigan birorta alomatiga tusharmikin diyodim chatgpt tashxis ham qoyib berdi borib kelam endi,Negatif,Negatif
herbenend jargon chatgpt haaa udah kayak buron gw dicaricari garukgaruk,Positif,Positif
gyuvinnt contoh upchar gw yg ckep chatgpt ntu akwowkwowk,Positif,Positif
restofcheryl ws chat gpt ae dapus e awuren,Netral,Netral
collegemenfess quillbot wkwk chatgpt sih parafrase bahasa kyk template banget hsjsbsj suka make quillbot khusus eng ya kalo indo suka make bot random google,Positif,Positif
maskbastard chatgptbotaddondll,Netral,Netral
drmhdk tenang chatgpt,Positif,Netral
ngerjain skripsi ya bang wkw tau chatgpt,Netral,Netral
chat gpt devin gemini,Netral,Netral
nanya chatgpt dijwb kek org sksd,Netral,Negatif
fikriauliya sumpah kudet denger claude bahasa indonesia ya lebih claude banding chatgpt openai mas,Negatif,Negatif
ayooo join ufmaa ufmaa universal future margin arbitrase agreement project arbitrase trade gandrung main internet income dunia ufmaa airdrop chatgpt btc official website,Positif,Positif
chat gpt geser posisi konselor,Netral,Netral
genz banget ya wkwkwkwkwkwkwk ai chatgpt,Netral,Netral
